Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins	channel_126	channel_127N	channel_127C	channel_128N	channel_128C	channel_129N	channel_129C	channel_130N	channel_130C	channel_131N	channel_131C	channel_132N	channel_132C	channel_133N	channel_133C	channel_134N
contam_sp|P13645|K1C10_HUMAN	P13645	K1C10_HUMAN	KRT10	584	Homo sapiens	Keratin, type I cytoskeletal 10	1:Experimental evidence at protein level	52.91	1.0000	0.9990	34	0	34	86	0	86	239803832	     0	239803832	10C(57.0214), 11M(15.9949), 12K(304.2071), 13K(304.2071), 16C(57.0214), 17K(304.2071), 19K(304.2071), 1K(304.2071), 21K(304.2071), 26M(15.9949), 2K(304.2071), 3M(15.9949), 4K(304.2071), 5C(57.0214), 6M(15.9949), 7C(57.0214), 7K(304.2071), 7M(15.9949), 8K(304.2071), 9K(304.2071), N-term(304.2071)		sp|P13645|K1C10_HUMAN	19639387.1123	5736646.2227	45254652.3359	12261203.1523	4673128.7881	10463441.4141	2285475.3174	5866100.5273	5017187.7261	3726037.1353	4366540.4453	9074131.9072	218970.8239	117980.2676	0.0000	0.0000
contam_sp|P13646|K1C13_HUMAN	P13646	K1C13_HUMAN	KRT13	458	Homo sapiens	Keratin, type I cytoskeletal 13	1:Experimental evidence at protein level	20.52	1.0000	0.9990	10	0	5	14	0	5	148371038	     0	148371038	12C(57.0214), 14M(15.9949), 19K(304.2071), 3M(15.9949), 5C(57.0214), 6K(304.2071), 7K(304.2071), N-term(304.2071)		sp|P13646|K1C13_HUMAN	89851.7852	93774.0312	114067.8711	249302.8555	178991.2812	203162.2236	99268.2012	1459958.9609	151535.6758	155149.8857	1688633.8750	118851.0811	18335.1638	0.0000	0.0000	0.0000
contam_sp|P13647|K2C5_HUMAN	P13647	K2C5_HUMAN	KRT5	590	Homo sapiens	Keratin, type II cytoskeletal 5	1:Experimental evidence at protein level	30.85	1.0000	0.9990	21	0	16	43	0	20	754935778	     0	754935778	11K(304.2071), 12K(304.2071), 2K(304.2071), 3K(304.2071), 5M(15.9949), 6M(15.9949), 7C(57.0214), 7M(15.9949), 8K(304.2071), 9K(304.2071), 9M(15.9949), N-term(304.2071)		sp|P13647|K2C5_HUMAN	3795456.1211	1780866.2617	6033070.1875	2850520.7383	1496357.5527	2590099.6211	837825.9463	1964501.5391	1637493.2803	1316885.8457	1887705.6719	2600191.3203	60382.8204	26273.9915	0.0000	0.0000
contam_sp|P15497|APOA1_BOVIN	P15497	APOA1_BOVIN	APOA1	265	Bos taurus	Apolipoprotein A-I	1:Experimental evidence at protein level	4.91	1.0000	0.9990	2	2	2	3	3	3	2213090	2213090	2213090	N-term(304.2071)			135179.8945	184341.6875	187335.7031	919764.0000	923694.7812	845755.0625	171734.6484	284555.8125	173832.8477	403065.3672	544946.1719	441025.6016	12592.6860	6371.9023	0.0000	0.0000
contam_sp|P22629|SAV_STRAV	P22629	SAV_STRAV		183	Streptomyces avidinii	Streptavidin	1:Experimental evidence at protein level	16.39	1.0000	0.9990	2	2	2	5	5	5	2685350	2685350	2685350	11K(304.2071), N-term(304.2071)			238184.8857	258959.8057	300905.1797	367057.9502	362373.6992	340879.1807	283590.8750	311168.0449	275178.9355	277096.0625	275836.6826	231622.0811	42274.0034	43553.8433	39962.8989	38550.9526
contam_sp|P35527|K1C9_HUMAN	P35527	K1C9_HUMAN	KRT9	623	Homo sapiens	Keratin, type I cytoskeletal 9	1:Experimental evidence at protein level	48.64	1.0000	0.9990	23	0	22	51	0	50	216920656	     0	216920656	10K(304.2071), 15K(304.2071), 16K(304.2071), 17K(304.2071), 1K(304.2071), 23K(304.2071), 27K(304.2071), 2K(304.2071), 30K(304.2071), 31K(304.2071), 32K(304.2071), 3K(304.2071), 3M(15.9949), 40K(304.2071), 5M(15.9949), 6K(304.2071), 6M(15.9949), 7K(304.2071), 8K(304.2071), 8M(15.9949), 9K(304.2071), N-term(304.2071)		sp|P35527|K1C9_HUMAN	2048492.4502	5068409.3936	6993477.9648	9935427.3848	2488726.9209	7789737.3291	1423730.2954	3910600.0156	18161999.6699	1827622.5000	4272133.4775	9080541.6094	153837.8761	83330.2444	1399.0007	0.0000
contam_sp|P35908|K22E_HUMAN	P35908	K22E_HUMAN	KRT2	639	Homo sapiens	Keratin, type II cytoskeletal 2 epidermal	1:Experimental evidence at protein level	58.69	1.0000	0.9990	37	0	34	62	0	59	266212000	     0	266212000	10M(15.9949), 11K(304.2071), 12K(304.2071), 15K(304.2071), 18K(304.2071), 19K(304.2071), 1K(304.2071), 20K(304.2071), 23K(304.2071), 23M(15.9949), 28K(304.2071), 2K(304.2071), 6M(15.9949), 7C(57.0214), 7M(15.9949), 8C(57.0214), 8K(304.2071), 9K(304.2071), N-term(304.2071)		sp|P35908|K22E_HUMAN	19876246.0127	4161977.4866	26158495.9492	7441331.8223	3673777.4819	6200311.7773	1607148.8005	3305983.6802	3552559.2646	2882213.9043	3044227.5933	7144314.4619	171224.7229	79968.1356	0.0000	0.0000
contam_sp|P60712|ACTB_BOVIN	P60712	ACTB_BOVIN	ACTB	375	Bos taurus	Actin, cytoplasmic 1	1:Experimental evidence at protein level	73.07	1.0000	0.9990	32	0	32	938	0	938	4879323648	     0	4879323648	10K(304.2071), 10M(15.9949), 11K(304.2071), 12M(15.9949), 13K(304.2071), 13M(15.9949), 14K(304.2071), 14M(15.9949), 15M(15.9949), 16C(57.0214), 17K(304.2071), 18C(57.0214), 18K(304.2071), 1C(57.0214), 1C(57.0214), 1K(304.2071), 1M(15.9949), 21M(15.9949), 22K(304.2071), 23K(304.2071), 25K(304.2071), 27M(15.9949), 28K(304.2071), 29M(15.9949), 2C(57.0214), 2K(304.2071), 30K(304.2071), 3C(57.0214), 3K(304.2071), 4C(57.0214), 5M(15.9949), 6M(15.9949), 7K(304.2071), 7M(15.9949), 8K(304.2071), 8M(15.9949), N-term(304.2071), N-term(42.0106)		sp|P60709|ACTB_HUMAN	449177312.5059	443225256.9688	518459954.5664	499399354.7842	466596507.1318	492034075.6167	403136716.2334	506503672.8916	436587721.2559	341708768.0352	320511896.0518	268395396.1782	8185000.6946	3909970.4692	9177.4026	35354.1929
contam_sp|Q04695|K1C17_HUMAN	Q04695	K1C17_HUMAN	KRT17	432	Homo sapiens	Keratin, type I cytoskeletal 17	1:Experimental evidence at protein level	19.44	1.0000	0.9990	10	0	2	15	0	2	115880710	     0	115880710	8K(304.2071), 9K(304.2071), N-term(304.2071)		sp|Q04695|K1C17_HUMAN	133060.7441	155067.2500	401885.6250	262961.8359	170808.6914	263842.5156	121625.9453	210425.1641	143834.9648	273866.9453	236947.7500	220736.5938	6554.3372	3126.8440	0.0000	0.0000
contam_sp|Q5D862|FILA2_HUMAN	Q5D862	FILA2_HUMAN	FLG2	2391	Homo sapiens	Filaggrin-2	1:Experimental evidence at protein level	2.51	1.0000	0.9990	3	0	3	3	0	3	3732276	     0	3732276	12K(304.2071), 15K(304.2071), 20C(57.0214), 30C(57.0214), 8C(57.0214), 9C(57.0214), N-term(304.2071)		sp|Q5D862|FILA2_HUMAN	390060.3281	119733.0547	940486.2812	268738.2578	83647.8594	176791.0703	51938.4824	111358.0977	182075.2969	100109.8516	88030.2852	258747.9219	6328.0647	1258.5974	0.0000	0.0000
contam_sp|Q86YZ3|HORN_HUMAN	Q86YZ3	HORN_HUMAN	HRNR	2850	Homo sapiens	Hornerin	1:Experimental evidence at protein level	6.56	1.0000	0.9990	5	0	5	6	0	6	18175149	     0	18175149	N-term(304.2071)		sp|Q86YZ3|HORN_HUMAN	93444.0874	189722.3916	235830.1289	357291.8477	169108.8281	240549.2832	96888.6592	196609.8262	468454.4570	129453.2871	168083.5801	335978.1172	5364.3755	0.0000	0.0000	0.0000
sp|A0A0B4J2D5|GAL3B_HUMAN	A0A0B4J2D5	GAL3B_HUMAN	GATD3B	268	Homo sapiens	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	5:Protein uncertain	35.82	1.0000	0.9990	8	0	8	11	0	11	121429694	     0	121429694	10K(304.2071), 12C(57.0214), 13K(304.2071), 15M(15.9949), 22K(304.2071), 27K(304.2071), 2K(304.2071), 3K(304.2071), N-term(304.2071)		sp|P0DPI2|GAL3A_HUMAN	449427.6318	504920.3262	599596.3809	2894295.2734	3169914.5938	2955660.5352	582589.1191	724780.9668	566148.0278	2362825.7871	3115643.1660	2142450.1641	69484.9884	29495.7117	0.0000	0.0000
sp|A0A1B0GUS4|UB2L5_HUMAN	A0A1B0GUS4	UB2L5_HUMAN	UBE2L5	154	Homo sapiens	Ubiquitin-conjugating enzyme E2 L5	2:Experimental evidence at transcript level	5.19	1.0000	0.9983	2	0	2	4	0	4	6222523	     0	6222523	7K(304.2071), 8K(304.2071), N-term(304.2071)		sp|P68036|UB2L3_HUMAN	342975.5664	446051.6094	400039.1797	426880.7266	465167.3828	611608.2969	504030.6562	515755.0859	565502.9062	332387.4219	295270.3008	208153.3516	9938.7188	0.0000	0.0000	0.0000
sp|A0AVT1|UBA6_HUMAN	A0AVT1	UBA6_HUMAN	UBA6	1052	Homo sapiens	Ubiquitin-like modifier-activating enzyme 6	1:Experimental evidence at protein level	17.21	1.0000	0.9990	20	20	20	30	30	30	19777210	19777210	19777210	10K(304.2071), 11K(304.2071), 13K(304.2071), 14M(15.9949), 15K(304.2071), 17K(304.2071), 1C(57.0214), 1K(304.2071), 2C(57.0214), 2K(304.2071), 2M(15.9949), 3C(57.0214), 4M(15.9949), 5K(304.2071), 7K(304.2071), 8C(57.0214), 8K(304.2071), 8M(15.9949), 9K(304.2071), N-term(304.2071)			4728901.0488	4893140.5234	5567699.1660	4913305.9609	4462815.3379	4548576.1660	5024733.9395	6432736.0371	5041668.4824	3611657.4688	2788179.1289	2434184.5195	81043.8882	31268.5676	1109.1403	0.0000
sp|A0FGR8|ESYT2_HUMAN	A0FGR8	ESYT2_HUMAN	ESYT2	921	Homo sapiens	Extended synaptotagmin-2	1:Experimental evidence at protein level	10.97	1.0000	0.9990	9	9	9	9	9	9	5180864	5180864	5180864	13K(304.2071), 2K(304.2071), 7K(304.2071), 8K(304.2071), N-term(304.2071)			150672.5469	190360.4585	201108.8535	1245299.0273	1198976.4141	1089505.1914	173826.9863	230921.8359	182488.2510	746532.5898	814757.3281	614648.5488	16758.6846	3147.5490	0.0000	0.0000
sp|A0JNW5|BLT3B_HUMAN	A0JNW5	BLT3B_HUMAN	BLTP3B	1464	Homo sapiens	Bridge-like lipid transfer protein family member 3B	1:Experimental evidence at protein level	4.51	1.0000	0.9990	7	7	7	7	7	7	4699224	4699224	4699224	10K(304.2071), 13K(304.2071), 4C(57.0214), 7K(304.2071), 8K(304.2071), 9K(304.2071), N-term(304.2071)			731697.1797	767811.1055	809277.3828	823663.4062	819862.0625	751501.8555	730113.5078	955816.3047	763243.1953	585759.4883	548777.7422	477908.9375	12841.1958	4407.3872	0.0000	0.0000
sp|A0MZ66|SHOT1_HUMAN	A0MZ66	SHOT1_HUMAN	SHTN1	631	Homo sapiens	Shootin-1	1:Experimental evidence at protein level	61.65	1.0000	0.9990	45	45	45	78	78	78	132527178	132527178	132527178	10K(304.2071), 10M(15.9949), 11C(57.0214), 11K(304.2071), 12K(304.2071), 12M(15.9949), 13K(304.2071), 14K(304.2071), 15K(304.2071), 16K(304.2071), 17K(304.2071), 19K(304.2071), 1K(304.2071), 20K(304.2071), 21K(304.2071), 22K(304.2071), 2C(57.0214), 2K(304.2071), 2M(15.9949), 3K(304.2071), 3M(15.9949), 4M(15.9949), 5C(57.0214), 5M(15.9949), 6M(15.9949), 7K(304.2071), 7M(15.9949), 8K(304.2071), 8M(15.9949), 9C(57.0214), 9K(304.2071), 9M(15.9949), N-term(304.2071)			16936946.9531	12916013.8311	14934796.2988	15669843.2695	15453557.3301	14478738.3828	9795965.5693	12954618.7617	9900870.0996	8431001.6680	7622406.7959	6497464.9570	223819.4510	112087.8604	0.0000	0.0000
sp|A1A5C7|S22AN_HUMAN	A1A5C7	S22AN_HUMAN	SLC22A23	686	Homo sapiens	Solute carrier family 22 member 23	1:Experimental evidence at protein level	7.29	1.0000	0.9990	3	3	3	5	5	5	2442061	2442061	2442061	4K(304.2071), N-term(304.2071)			100120.7798	113408.6157	119950.1465	466488.0059	488600.1387	446478.2812	131413.5986	150396.7344	115552.4932	374038.2324	434251.5488	317409.5605	9777.5632	3440.9760	0.0000	0.0000
sp|A1L020|MEX3A_HUMAN	A1L020	MEX3A_HUMAN	MEX3A	520	Homo sapiens	RNA-binding protein MEX3A	1:Experimental evidence at protein level	27.69	1.0000	0.9990	11	9	11	12	9	12	8264359	8132038	8264359	10C(57.0214), 12K(304.2071), 15K(304.2071), 2K(304.2071), 6C(57.0214), 7K(304.2071), 8K(304.2071), 9C(57.0214), 9K(304.2071), N-term(304.2071)			927540.4629	962655.4121	1047578.1484	1384916.0371	1407276.1836	1269462.3125	958488.6211	1223273.8262	955524.1602	1037598.5156	1027694.1309	822305.5771	26362.2950	16719.1859	0.0000	0.0000
sp|A1L0T0|HACL2_HUMAN	A1L0T0	HACL2_HUMAN	ILVBL	632	Homo sapiens	2-hydroxyacyl-CoA lyase 2	1:Experimental evidence at protein level	15.19	1.0000	0.9990	8	8	8	12	12	12	94119497	94119497	94119497	10C(57.0214), 12C(57.0214), 14K(304.2071), 15M(15.9949), 21K(304.2071), 2K(304.2071), 2M(15.9949), 3M(15.9949), 6K(304.2071), 9C(57.0214), 9K(304.2071), N-term(304.2071)			350514.6807	402940.1538	451031.0444	2319548.7480	2162078.7969	2193666.3574	472632.6016	663072.1748	472630.7881	1875142.7930	1731152.3242	1336575.8711	52703.5232	33458.5798	0.0000	0.0000
sp|A1X283|SPD2B_HUMAN	A1X283	SPD2B_HUMAN	SH3PXD2B	911	Homo sapiens	SH3 and PX domain-containing protein 2B	1:Experimental evidence at protein level	25.91	1.0000	0.9990	25	25	25	30	30	30	36256327	36256327	36256327	10K(304.2071), 12K(304.2071), 13C(57.0214), 14K(304.2071), 15K(304.2071), 18K(304.2071), 20K(304.2071), 2K(304.2071), 3K(304.2071), 3M(15.9949), 4K(304.2071), 5K(304.2071), 7C(57.0214), 7K(304.2071), 8C(57.0214), 8K(304.2071), 9K(304.2071), N-term(304.2071)			2392215.5527	2435408.2852	2734021.9316	3692310.9141	3921837.1777	3508324.6328	3507424.9043	4917679.8555	4109910.4648	3054916.4199	3451310.7129	2690581.0391	87811.1157	43510.4465	0.0000	0.0000
sp|A1Z1Q3|MACD2_HUMAN	A1Z1Q3	MACD2_HUMAN	MACROD2	425	Homo sapiens	ADP-ribose glycohydrolase MACROD2	1:Experimental evidence at protein level	17.41	1.0000	0.9990	9	9	9	13	13	13	13483424	13483424	13483424	10C(57.0214), 10K(304.2071), 11K(304.2071), 14C(57.0214), 15K(304.2071), 16K(304.2071), 17K(304.2071), 18K(304.2071), 2K(304.2071), 3C(57.0214), 3K(304.2071), 5C(57.0214), 8K(304.2071), N-term(304.2071)			1509742.2676	1416237.5723	1677921.1309	1326512.4805	1305885.7168	1275797.9629	1640089.6484	2246651.4180	1742220.4590	1045835.5586	926950.9414	835988.7617	28332.7749	12993.7073	0.0000	0.0000
sp|A2RRP1|NBAS_HUMAN	A2RRP1	NBAS_HUMAN	NBAS	2371	Homo sapiens	NBAS subunit of NRZ tethering complex	1:Experimental evidence at protein level	9.24	1.0000	0.9990	19	19	19	20	20	20	7121644	7121644	7121644	10K(304.2071), 11K(304.2071), 12K(304.2071), 13C(57.0214), 14K(304.2071), 14M(15.9949), 17K(304.2071), 1C(57.0214), 2C(57.0214), 4C(57.0214), 5K(304.2071), 8K(304.2071), 9C(57.0214), 9K(304.2071), N-term(304.2071)			309879.8159	356723.4561	384544.2549	2251293.8711	2062797.6172	2046035.5469	426072.9102	626086.1230	439505.2217	1936381.0508	1804795.2051	1456592.8359	47165.7789	14537.2300	0.0000	0.0000
sp|A2RU67|F234B_HUMAN	A2RU67	F234B_HUMAN	FAM234B	622	Homo sapiens	Protein FAM234B	1:Experimental evidence at protein level	6.43	1.0000	0.9990	3	3	3	4	4	4	1323595	1323595	1323595	13K(304.2071), 17K(304.2071), 2K(304.2071), N-term(304.2071)			102296.5781	108509.5449	129177.5469	815588.1406	718457.4688	744522.1719	138165.0312	181446.5273	123604.0645	519460.1328	448617.9375	355997.3594	12905.9019	5940.4274	1296.1687	0.0000
sp|A3KMH1|VWA8_HUMAN	A3KMH1	VWA8_HUMAN	VWA8	1905	Homo sapiens	von Willebrand factor A domain-containing protein 8	1:Experimental evidence at protein level	4.15	1.0000	0.9990	6	6	6	7	7	7	10466532	10466532	10466532	10K(304.2071), 15K(304.2071), 23K(304.2071), 4C(57.0214), 8K(304.2071), N-term(304.2071)			126728.7930	142128.5840	183285.9834	516019.5312	527284.6719	453453.8750	169290.2686	216592.6650	191012.7949	451063.2734	497046.4648	382561.9258	16909.7312	7893.4078	0.0000	0.0000
sp|A3KN83|SBNO1_HUMAN	A3KN83	SBNO1_HUMAN	SBNO1	1393	Homo sapiens	Protein strawberry notch homolog 1	1:Experimental evidence at protein level	5.67	1.0000	0.9990	5	5	5	6	6	6	2046735	2046735	2046735	12K(304.2071), 2M(15.9949), 3C(57.0214), 5M(15.9949), 7M(15.9949), 8K(304.2071), 9K(304.2071), N-term(304.2071)			458103.7031	492813.8125	527955.9219	499182.2695	491685.1484	456641.5820	409665.4883	498248.1523	410809.0234	357020.2930	297570.9648	266803.2559	8897.6418	1907.4965	0.0000	0.0000
sp|A4D1E9|GTPBA_HUMAN	A4D1E9	GTPBA_HUMAN	GTPBP10	387	Homo sapiens	GTP-binding protein 10	1:Experimental evidence at protein level	10.34	1.0000	0.9990	4	4	4	4	4	4	2894006	2894006	2894006	15K(304.2071), 16K(304.2071), 6M(15.9949), 7K(304.2071), N-term(304.2071)			44340.4800	68255.5068	55259.6328	202203.8965	188806.1953	199661.2910	54083.0264	65188.1650	55463.6436	166914.2637	173811.9492	154920.6816	5537.1401	3999.6230	0.0000	0.0000
sp|A4D1P6|WDR91_HUMAN	A4D1P6	WDR91_HUMAN	WDR91	747	Homo sapiens	WD repeat-containing protein 91	1:Experimental evidence at protein level	15.53	1.0000	0.9990	10	10	10	11	11	11	3600739	3600739	3600739	10C(57.0214), 12K(304.2071), 13K(304.2071), 14K(304.2071), 15K(304.2071), 16K(304.2071), 25C(57.0214), 2K(304.2071), 2M(15.9949), 6K(304.2071), 8M(15.9949), 9K(304.2071), N-term(304.2071)			656528.8193	664528.0508	740847.6133	867651.7051	951947.2305	808101.3936	732242.6816	1010255.4082	851877.9424	720420.9482	730879.8428	609053.9795	19881.0828	4862.6449	0.0000	0.0000
sp|A5PKW4|PSD1_HUMAN	A5PKW4	PSD1_HUMAN	PSD	1024	Homo sapiens	PH and SEC7 domain-containing protein 1	1:Experimental evidence at protein level	11.82	1.0000	0.9990	13	13	13	15	15	15	9713280	9713280	9713280	10K(304.2071), 1K(304.2071), 2K(304.2071), 2M(15.9949), 5C(57.0214), 7K(304.2071), 8C(57.0214), 8K(304.2071), N-term(304.2071)			206068.8359	238417.5391	257858.9805	1291971.3203	1341811.5879	1130985.0586	264381.4912	332416.1802	255474.0239	1001175.6816	1178272.9258	840903.2168	23616.4353	7649.3372	0.0000	0.0000
sp|A5PLN9|TPC13_HUMAN	A5PLN9	TPC13_HUMAN	TRAPPC13	417	Homo sapiens	Trafficking protein particle complex subunit 13	1:Experimental evidence at protein level	7.91	1.0000	0.9990	4	4	4	5	5	5	11921549	11921549	11921549	4C(57.0214), 6M(15.9949), N-term(304.2071)			321983.3672	374852.1133	384696.3203	445922.8438	447540.7656	427548.4531	396993.7422	514275.1172	420843.2891	346225.5508	370240.5547	318743.0781	11088.4893	5486.5160	0.0000	0.0000
