Protein	Protein ID	Entry Name	Gene	Length	Is Decoy	Is Contaminant	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Protein Qvalue	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins	channel_126	channel_127N	channel_127C	channel_128N	channel_128C	channel_129N	channel_129C	channel_130N	channel_130C	channel_131N	channel_131C	channel_132N	channel_132C	channel_133N	channel_133C	channel_134N
contam_sp|Q5D862|FILA2_HUMAN	Q5D862	FILA2_HUMAN	FLG2	2391	false	true	Homo sapiens	Filaggrin-2	1:Experimental evidence at protein level	1.21	1.0000	0.9990	0.00000000000000	3	0	3	3	0	3	2707584	     0	2707584	10K(304.2072), 12K(304.2072), 5C(57.0215), 7K(304.2072), N-term(304.2072)		sp|Q5D862|FILA2_HUMAN	371409.4922	119991.3652	123125.0605	117800.6406	135300.2930	107637.6914	196612.6172	108244.2793	84161.8281	77474.5957	80266.0176	52033.7314	2518.6680	0.0000	0.0000	0.0000
contam_sp|Q7Z794|K2C1B_HUMAN	Q7Z794	K2C1B_HUMAN	KRT77	578	false	true	Homo sapiens	Keratin, type II cytoskeletal 1b	1:Experimental evidence at protein level	10.21	1.0000	0.9990	0.00000000000000	7	0	3	11	0	3	21768486	     0	21768486	11K(304.2072), 12K(304.2072), 9K(304.2072), N-term(304.2072)		sp|Q7Z794|K2C1B_HUMAN	161364.8633	80432.0098	92315.2773	79827.1641	128824.2109	70860.6074	225468.2734	111578.6523	83796.3828	74076.9629	83471.8223	56351.2500	0.0000	1181.8561	0.0000	0.0000
contam_sp|Q86YZ3|HORN_HUMAN	Q86YZ3	HORN_HUMAN	HRNR	2850	false	true	Homo sapiens	Hornerin	1:Experimental evidence at protein level	6.32	1.0000	0.9990	0.00000000000000	3	0	3	3	0	3	3013137	     0	3013137	N-term(304.2072)		sp|Q86YZ3|HORN_HUMAN	74627.3799	175631.7656	123212.6426	168517.5605	117939.1113	46610.0684	177728.0781	28525.5527	149216.2617	46923.3770	49680.4541	90472.8438	0.0000	0.0000	0.0000	0.0000
sp|A0A0B4J2D5|GAL3B_HUMAN	A0A0B4J2D5	GAL3B_HUMAN	GATD3B	268	false	false	Homo sapiens	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	5:Protein uncertain	51.49	1.0000	0.9990	0.00000000000000	12	0	12	17	0	17	47186151	     0	47186151	10K(304.2072), 12C(57.0215), 13C(57.0215), 13K(304.2072), 15K(304.2072), 15M(15.9949), 1K(304.2072), 21K(304.2072), 22K(304.2072), 25K(304.2072), 3K(304.2072), 7K(304.2072), 8K(304.2072), N-term(304.2072)		sp|P0DPI2|GAL3A_HUMAN	1659153.3379	1345528.3027	2765686.0117	634356.1362	647486.8447	517123.4521	2285264.2656	2061863.0586	2460032.1621	1464375.5039	1422827.3477	1155122.8877	31826.2518	13322.2944	1187.9839	0.0000
sp|A0A0J9YX94|PMA6F_HUMAN	A0A0J9YX94	PMA6F_HUMAN	PNMA6F	578	false	false	Homo sapiens	Paraneoplastic antigen Ma6F	4:Protein predicted	9.34	1.0000	0.9984	0.00068575347163	6	5	6	7	6	7	2683953	2472583	2683953	7M(15.9949), 8K(304.2072), N-term(304.2072)			140116.0068	124813.1104	202132.1953	178661.8867	196449.1582	190222.1914	128341.6167	141956.8496	150325.8984	173371.2783	157704.0234	159945.1528	7833.5168	0.0000	0.0000	0.0000
sp|A0A0U1RR11|CENL1_HUMAN	A0A0U1RR11	CENL1_HUMAN	CENPVL1	272	false	false	Homo sapiens	Centromere protein V-like protein 1	2:Experimental evidence at transcript level	12.50	1.0000	0.9990	0.00000000000000	3	0	2	4	0	2	671000	     0	671000	8C(57.0215), 9C(57.0215), N-term(304.2072)		sp|A0A0U1RRI6|CENL3_HUMAN, sp|P0DPI3|CENL2_HUMAN	15249.0972	14761.2832	20532.0264	10072.5098	13372.2124	11911.4565	69399.5625	94659.4355	102231.6172	31708.6934	35900.6924	25969.8525	0.0000	0.0000	0.0000	0.0000
sp|A0AVF1|IFT56_HUMAN	A0AVF1	IFT56_HUMAN	TTC26	554	false	false	Homo sapiens	Intraflagellar transport protein 56	1:Experimental evidence at protein level	7.76	1.0000	0.9990	0.00000000000000	5	5	5	5	5	5	1726382	1726382	1726382	11M(15.9949), 8K(304.2072), N-term(304.2072)			89929.9639	72304.6182	106253.0078	167439.0781	190829.9258	162545.8594	64867.4023	73828.3027	69890.2051	130509.1348	128876.4844	116278.9023	0.0000	0.0000	0.0000	0.0000
sp|A0AVT1|UBA6_HUMAN	A0AVT1	UBA6_HUMAN	UBA6	1052	false	false	Homo sapiens	Ubiquitin-like modifier-activating enzyme 6	1:Experimental evidence at protein level	31.46	1.0000	0.9990	0.00000000000000	30	30	30	39	39	39	43515354	43515354	43515354	10K(304.2072), 11K(304.2072), 12K(304.2072), 13K(304.2072), 14M(15.9949), 15K(304.2072), 16K(304.2072), 17C(57.0215), 17K(304.2072), 1C(57.0215), 1K(304.2072), 24K(304.2072), 2C(57.0215), 2K(304.2072), 2M(15.9949), 3C(57.0215), 3K(304.2072), 6C(57.0215), 7K(304.2072), 7M(15.9949), 8C(57.0215), 8K(304.2072), 8M(15.9949), 9K(304.2072), 9M(15.9949), N-term(304.2072)			1947735.1406	1630699.4707	2572802.3145	2855440.4678	3035619.2656	2961340.7334	1356228.2217	1489894.4102	1521996.6631	1671124.5449	1372808.6729	1641670.0127	27009.6853	15521.4901	0.0000	0.0000
sp|A0FGR8|ESYT2_HUMAN	A0FGR8	ESYT2_HUMAN	ESYT2	921	false	false	Homo sapiens	Extended synaptotagmin-2	1:Experimental evidence at protein level	12.27	1.0000	0.9990	0.00000000000000	10	10	10	10	10	10	6322777	6322777	6322777	12K(304.2072), 13K(304.2072), 7K(304.2072), N-term(304.2072)			256219.9258	209128.0195	316328.5713	187076.5918	182803.4702	191839.8027	494462.1895	616926.5156	705497.8555	713059.3242	711205.5742	657668.5352	20748.1080	3524.8105	0.0000	0.0000
sp|A0JNW5|BLT3B_HUMAN	A0JNW5	BLT3B_HUMAN	BLTP3B	1464	false	false	Homo sapiens	Bridge-like lipid transfer protein family member 3B	1:Experimental evidence at protein level	2.94	1.0000	0.9990	0.00000000000000	5	5	5	5	5	5	977264	977264	977264	10K(304.2072), 7K(304.2072), 8K(304.2072), 9K(304.2072), N-term(304.2072)			134150.3750	110063.6992	165950.3340	200495.8105	213026.0684	203990.7793	95921.7002	119627.9141	111709.7207	154478.2598	139896.7715	162812.7441	1574.0593	1620.9972	0.0000	0.0000
sp|A0MZ66|SHOT1_HUMAN	A0MZ66	SHOT1_HUMAN	SHTN1	631	false	false	Homo sapiens	Shootin-1	1:Experimental evidence at protein level	50.40	1.0000	0.9990	0.00000000000000	35	35	35	49	49	49	33052767	33052767	33052767	10K(304.2072), 10M(15.9949), 11K(304.2072), 13K(304.2072), 14K(304.2072), 16K(304.2072), 19K(304.2072), 1K(304.2072), 20K(304.2072), 21K(304.2072), 2C(57.0215), 2K(304.2072), 2M(15.9949), 3M(15.9949), 4C(57.0215), 5C(57.0215), 5M(15.9949), 6M(15.9949), 7K(304.2072), 7M(15.9949), 8K(304.2072), 8M(15.9949), 9K(304.2072), N-term(304.2072)			3205946.1475	2777513.5986	4402286.6152	3701688.5840	4223830.6016	3641000.6113	1594708.7617	1653746.9619	1666525.2471	1904444.8145	1697043.8574	1853926.6348	46319.3464	26523.5336	0.0000	0.0000
sp|A1A5C7|S22AN_HUMAN	A1A5C7	S22AN_HUMAN	SLC22A23	686	false	false	Homo sapiens	Solute carrier family 22 member 23	1:Experimental evidence at protein level	11.08	1.0000	0.9990	0.00000000000000	6	6	6	6	6	6	1783165	1783165	1783165	10K(304.2072), 14K(304.2072), 1K(304.2072), 24M(15.9949), 25K(304.2072), 7K(304.2072), 8K(304.2072), N-term(304.2072)			58510.0215	54285.9648	76397.1807	47380.7188	51077.4751	46700.8789	246337.2148	275005.0000	305086.3945	178094.0352	186785.4707	202890.0977	2552.5972	0.0000	0.0000	0.0000
sp|A1L020|MEX3A_HUMAN	A1L020	MEX3A_HUMAN	MEX3A	520	false	false	Homo sapiens	RNA-binding protein MEX3A	1:Experimental evidence at protein level	14.81	1.0000	0.9990	0.00000000000000	6	5	6	7	6	7	21627529	21627529	21627529	12K(304.2072), 5C(57.0215), 8C(57.0215), 9K(304.2072), N-term(304.2072)			187595.0137	160979.0889	255168.1035	178870.2529	200029.2969	198793.1016	189385.4414	196748.9609	219429.9141	218748.5234	204191.2930	240519.9688	5697.1052	2793.5376	0.0000	0.0000
sp|A1L0T0|HACL2_HUMAN	A1L0T0	HACL2_HUMAN	ILVBL	632	false	false	Homo sapiens	2-hydroxyacyl-CoA lyase 2	1:Experimental evidence at protein level	27.22	1.0000	0.9990	0.00000000000000	15	15	15	20	20	20	20763258	20763258	20763258	10C(57.0215), 12C(57.0215), 15M(15.9949), 16C(57.0215), 17K(304.2072), 19K(304.2072), 1C(57.0215), 1K(304.2072), 21K(304.2072), 2K(304.2072), 2M(15.9949), 3M(15.9949), 4M(15.9949), 6K(304.2072), 6M(15.9949), 8K(304.2072), 9C(57.0215), 9K(304.2072), N-term(304.2072)			356017.3589	283762.7734	454197.9946	325829.5537	337401.7141	351355.4639	995717.3086	1111129.8906	1361091.8555	1265069.3477	1187043.3594	1262840.3672	44536.7476	16715.0793	0.0000	0.0000
sp|A1L157|TSN11_HUMAN	A1L157	TSN11_HUMAN	TSPAN11	253	false	false	Homo sapiens	Tetraspanin-11	2:Experimental evidence at transcript level	14.23	1.0000	0.9990	0.00000000000000	3	2	2	5	2	2	2211755	2211755	2211755	6C(57.0215), 7C(57.0215), 8K(304.2072), N-term(304.2072)			48458.3032	30084.9116	64659.5322	17644.2932	21186.9978	16586.1985	253018.4141	202436.8984	258438.3516	86095.7500	71089.8584	76567.1318	0.0000	0.0000	0.0000	0.0000
sp|A1L170|CA226_HUMAN	A1L170	CA226_HUMAN	C1orf226	272	false	false	Homo sapiens	Uncharacterized protein C1orf226	1:Experimental evidence at protein level	15.81	1.0000	0.9990	0.00000000000000	3	3	3	3	3	3	2472501	2472501	2472501	17K(304.2072), 2K(304.2072), N-term(304.2072)			26270.3965	21005.0356	36765.2686	22616.5024	20350.8330	18483.3403	43215.3145	54649.6855	61267.7754	76265.7559	71870.8223	63349.2129	0.0000	0.0000	0.0000	0.0000
sp|A1X283|SPD2B_HUMAN	A1X283	SPD2B_HUMAN	SH3PXD2B	911	false	false	Homo sapiens	SH3 and PX domain-containing protein 2B	1:Experimental evidence at protein level	15.04	1.0000	0.9990	0.00000000000000	16	15	16	18	17	18	10009752	10009752	10009752	10K(304.2072), 12K(304.2072), 13C(57.0215), 2K(304.2072), 3K(304.2072), 3M(15.9949), 7C(57.0215), 7K(304.2072), 8K(304.2072), 9K(304.2072), N-term(304.2072)			639214.6758	503025.5479	836539.0713	1026447.5391	1225929.5176	1053388.2832	652378.9219	710249.2334	754995.3105	780247.0654	721026.0898	742262.4639	21523.6210	7466.3961	0.0000	0.0000
sp|A1Z1Q3|MACD2_HUMAN	A1Z1Q3	MACD2_HUMAN	MACROD2	425	false	false	Homo sapiens	ADP-ribose glycohydrolase MACROD2	1:Experimental evidence at protein level	14.35	1.0000	0.9990	0.00000000000000	6	6	6	10	10	10	6812774	6812774	6812774	10C(57.0215), 11K(304.2072), 15K(304.2072), 16K(304.2072), 17K(304.2072), 2K(304.2072), 5C(57.0215), N-term(304.2072)			271532.1885	245035.7188	365944.9277	318091.2803	335002.8027	359468.7266	185596.1406	219730.4131	207121.0625	191811.8018	166549.2275	192895.1465	4707.2469	0.0000	0.0000	0.0000
sp|A2RRP1|NBAS_HUMAN	A2RRP1	NBAS_HUMAN	NBAS	2371	false	false	Homo sapiens	NBAS subunit of NRZ tethering complex	1:Experimental evidence at protein level	15.48	1.0000	0.9990	0.00000000000000	34	34	34	37	37	37	9933290	9933290	9933290	10K(304.2072), 10M(15.9949), 11K(304.2072), 12K(304.2072), 13C(57.0215), 14K(304.2072), 14M(15.9949), 17K(304.2072), 18K(304.2072), 1C(57.0215), 2C(57.0215), 2K(304.2072), 3C(57.0215), 4C(57.0215), 5K(304.2072), 6K(304.2072), 8K(304.2072), 9C(57.0215), 9K(304.2072), N-term(304.2072)			477416.2710	377949.3955	553548.8237	368156.7454	378195.7831	377675.9368	1471456.2002	1709471.9961	1978123.1719	1847648.5508	1775532.8398	1876385.4824	54939.1486	25068.6416	0.0000	0.0000
sp|A2RTX5|SYTC2_HUMAN	A2RTX5	SYTC2_HUMAN	TARS3	802	false	false	Homo sapiens	Threonine--tRNA ligase 2, cytoplasmic	1:Experimental evidence at protein level	10.10	1.0000	0.9990	0.00000000000000	9	8	8	9	8	8	8690109	2789561	8690109	10K(304.2072), 1C(57.0215), 2K(304.2072), 8C(57.0215), 8K(304.2072), 9K(304.2072), N-term(304.2072)			245695.1836	203215.8379	333319.8887	360560.0039	398969.2070	373772.3203	228366.5566	239721.8047	267864.7363	340260.8867	302036.1055	338161.4766	16275.4655	1326.4945	0.0000	0.0000
sp|A3KMH1|VWA8_HUMAN	A3KMH1	VWA8_HUMAN	VWA8	1905	false	false	Homo sapiens	von Willebrand factor A domain-containing protein 8	1:Experimental evidence at protein level	10.71	1.0000	0.9990	0.00000000000000	20	20	20	20	20	20	5020912	5020912	5020912	10C(57.0215), 10K(304.2072), 12M(15.9949), 13K(304.2072), 14K(304.2072), 6C(57.0215), 7K(304.2072), 8K(304.2072), 9K(304.2072), N-term(304.2072)			374019.9902	318117.2891	498607.3604	290544.2466	276244.9026	284559.1885	620146.5078	720800.6367	820562.6387	747085.0293	662486.1621	690254.3457	9600.9967	6188.5542	0.0000	0.0000
sp|A4D1P6|WDR91_HUMAN	A4D1P6	WDR91_HUMAN	WDR91	747	false	false	Homo sapiens	WD repeat-containing protein 91	1:Experimental evidence at protein level	13.12	1.0000	0.9990	0.00000000000000	11	11	11	12	12	12	6175472	6175472	6175472	10C(57.0215), 12C(57.0215), 1K(304.2072), 2M(15.9949), 7K(304.2072), 8K(304.2072), 8M(15.9949), 9K(304.2072), N-term(304.2072)			327567.5225	252501.7266	444627.4219	330963.5322	356862.2236	343864.3105	232555.9404	308691.4502	308495.6113	364570.6035	333057.6084	374969.4404	5715.1292	4631.0161	0.0000	0.0000
sp|A5PKW4|PSD1_HUMAN	A5PKW4	PSD1_HUMAN	PSD	1024	false	false	Homo sapiens	PH and SEC7 domain-containing protein 1	1:Experimental evidence at protein level	9.77	1.0000	0.9990	0.00000000000000	11	11	11	12	12	12	4229986	4229986	4229986	11K(304.2072), 2K(304.2072), 4K(304.2072), 5C(57.0215), 7K(304.2072), 8K(304.2072), N-term(304.2072)			172301.1084	150825.8154	223114.3027	153586.5518	154629.8135	182438.1279	582963.4785	738825.3281	751323.8398	676062.3750	658621.0547	777766.6797	19662.1304	4444.2036	0.0000	0.0000
sp|A5PLN9|TPC13_HUMAN	A5PLN9	TPC13_HUMAN	TRAPPC13	417	false	false	Homo sapiens	Trafficking protein particle complex subunit 13	1:Experimental evidence at protein level	5.76	1.0000	0.9990	0.00000000000000	3	3	3	4	4	4	2796104	2796104	2796104	4C(57.0215), N-term(304.2072)			137334.0469	112736.0430	168094.4844	138955.3594	146422.7871	131225.9238	87792.9570	99758.8125	114162.1973	119460.9980	127291.9805	119705.6562	0.0000	0.0000	0.0000	0.0000
